name,locality,region,latitude,longitude,founded,size
vivacious kitchen,petaling jaya,selangor,3.1073,101.6067,2020, 1-10
wild food,petaling jaya,selangor,3.1073,101.6067,2020, 1-10
rage coffee,kuala lumpur,kuala lumpur,3.139,101.6869,2019, 1-10
halnex sdn bhd,bandar baru bangi,selangor,2.967,101.761,2019, 1-10
rebel pasta,petaling jaya,selangor,3.1073,101.6067,2019, 11-50
coffee star,kuala lumpur,kuala lumpur,3.139,101.6869,2019, 1-10
eatlah,shah alam,selangor,3.0738,101.5183,2019, 1-10
calli,petaling jaya,selangor,3.1073,101.6067,2019, 1-10
eatlah.co,petaling jaya,selangor,3.1073,101.6067,2019, 1-10
kong restobar,subang jaya,selangor,3.043,101.583,2018, 1-10
eatfun malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,2018, 11-50
jollibee malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,2018, 11-50
uniqorn,subang jaya,selangor,3.043,101.583,2018, 1-10
burger budget,klang,selangor,3.0433,101.4469,2018, 1-10
cultiveat,petaling jaya,selangor,3.1073,101.6067,2018, 11-50
lolol sdn bhd,batu berendam,melaka,2.254,102.254,2018, 11-50
district 9 cafe bar (m) sdn. bhd.,johor bahru,johor,1.4927,103.7414,2018, 11-50
kind kones,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 11-50
mamasab international sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,2017,51-200
foodtime,cyberjaya,selangor,2.9225,101.655,2017, 1-10
uncle ali the fishmonger,shah alam,selangor,3.0738,101.5183,2017, 1-10
hometaste official,petaling jaya,selangor,3.1073,101.6067,2017, 1-10
the great fundamentals,petaling jaya,selangor,3.1073,101.6067,2017,201-500
briyani on wheels,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
food-connects,cyberjaya,selangor,2.9225,101.655,2017, 1-10
sweet tooth food & beverage sdn bhd,shah alam,selangor,3.0738,101.5183,2017, 1-10
the baking firm,shah alam,selangor,3.0738,101.5183,2017, 1-10
the dalucia sdn bhd,shah alam,selangor,3.0738,101.5183,2017, 11-50
emery school of coffee,subang jaya,selangor,3.043,101.583,2017, 11-50
kintry,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
fadiq enterprise,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
restoran nasi lemak royale team kedah alam budiman,shah alam,selangor,3.0738,101.5183,2017, 1-10
luxicon coffee lab,klang,selangor,3.0433,101.4469,2016, 1-10
chiu's - the modern local,kota kinabalu,sabah,5.9804,116.0735,2016, 1-10
fat deb bakes,petaling jaya,selangor,3.1073,101.6067,2016, 1-10
k fry,johor bahru,johor,1.4927,103.7414,2016,201-500
food valet services sdn. bhd.,kuantan,pahang,3.8077,103.326,2016, 11-50
like me coffee,petaling jaya,selangor,3.1073,101.6067,2016, 1-10
wy & co.,petaling jaya,selangor,3.1073,101.6067,2016,51-200
etani sdn bhd,shah alam,selangor,3.0738,101.5183,2016, 11-50
supplybunny,petaling jaya,selangor,3.1073,101.6067,2016, 11-50
m cake boutique,batu caves,selangor,3.237,101.684,2016, 1-10
big fish small fish malaysia,petaling jaya,selangor,3.1073,101.6067,2016, 11-50
tmi trading sdn bhd,shah alam,selangor,3.0738,101.5183,2016, 11-50
storiiu sdn bhd,seri kembangan,selangor,3.02,101.705,2016, 1-10
pichaeats,kuala lumpur,kuala lumpur,3.139,101.6869,2016, 1-10
hoshizaki malaysia,subang jaya,selangor,3.043,101.583,2015, 1-10
biotrampil plt,ampang,selangor,3.149,101.76,2015, 1-10
auzton distribution (m) sdn bhd,petaling jaya,selangor,3.1073,101.6067,2015, 11-50
ocam sdn bhd,kuala lumpur,kuala lumpur,3.139,101.6869,2015, 11-50
amazin'graze,sentul,kuala lumpur,3.179,101.691,2015, 11-50
morco coffee,subang jaya,selangor,3.043,101.583,2015, 11-50
hungry bunch,petaling jaya,selangor,3.1073,101.6067,2015, 11-50
meet up cafe & bar,george town,pulau pinang,5.4141,100.3292,2015, 11-50
coffee collective sdn bhd,petaling jaya,selangor,3.1073,101.6067,2015, 1-10
ramer far east sdn bhd,cyberjaya,selangor,2.9225,101.655,2015, 11-50
huckleberry food  and  fare,kuala lumpur,kuala lumpur,3.139,101.6869,2015, 1-10
masala wheels social enterprise,petaling jaya,selangor,3.1073,101.6067,2015, 11-50
ifv group,subang jaya,selangor,3.043,101.583,2015,51-200
socialwalk | supplies ordering system for cafe / restaurants / grocery shops | verified suppliers,cyberjaya,selangor,2.9225,101.655,2015, 11-50
ayden food solution,kajang,selangor,2.9935,101.7891,2015, 1-10
life juice malaysia,shah alam,selangor,3.0738,101.5183,2014,51-200
kacangputéh.com,ipoh,perak,4.5975,101.0901,2014, 1-10
love a loaf bakery & cafe,bayan lepas,pulau pinang,5.296,100.276,2014,51-200
big juiceee,batu,kuala lumpur,3.217,101.682,2014, 11-50
eftech lifestyle sdn. bhd.,johor bahru,johor,1.4927,103.7414,2014, 11-50
makan table,sepang,selangor,2.693,101.749,2014, 1-10
stellar signature,petaling jaya,selangor,3.1073,101.6067,2014,501-1000
eat drink play repeat sdn bhd (boozeat.com),petaling jaya,selangor,3.1073,101.6067,2014, 11-50
thyme out,petaling jaya,selangor,3.1073,101.6067,2014, 11-50
urbean cafe´,kuala lumpur,kuala lumpur,3.139,101.6869,2014, 1-10
offpeak,petaling jaya,selangor,3.1073,101.6067,2014, 11-50
boat noodle,shah alam,selangor,3.0738,101.5183,2014,201-500
chickano (m) sdn bhd,kajang,selangor,2.9935,101.7891,2014, 11-50
sugar rush sdn bhd,petaling jaya,selangor,3.1073,101.6067,2013, 11-50
bake to play,petaling jaya,selangor,3.1073,101.6067,2013, 11-50
shell out®️ sdn bhd,petaling jaya,selangor,3.1073,101.6067,2013,51-200
thursdvys,kuala lumpur,kuala lumpur,3.139,101.6869,2013, 11-50
gulf asia oils and fats sdn bhd,kuala lumpur,kuala lumpur,3.139,101.6869,2013,51-200
salad atelier cafe,batu caves,selangor,3.237,101.684,2013, 1-10
open kitchen sdn bhd,kota kinabalu,sabah,5.9804,116.0735,2013, 1-10
thrive edition sdn bhd,kuala lumpur,kuala lumpur,3.139,101.6869,2012, 11-50
barista guild asia,petaling jaya,selangor,3.1073,101.6067,2012, 1-10
gelatomio wholesale sdn bhd,petaling jaya,selangor,3.1073,101.6067,2012, 1-10
tedboy,petaling jaya,selangor,3.1073,101.6067,2012,51-200
madeleine patisserie sdn bhd,damansara,selangor,3.0738,101.5183,2012, 1-10
horngwell foodstuff industries sdn bhd,lunas,kedah,5.438,100.438,2011, 1-10
crush foods sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,2011, 11-50
小旅 / p.a.t.h.,sungai petani,kedah,5.6453,100.487,2011, 1-10
anggun dinamik holdings sdn bhd,shah alam,selangor,3.0738,101.5183,2011, 11-50
yummylicious,petaling jaya,selangor,3.1073,101.6067,2011, 1-10
whisk,petaling jaya,selangor,3.1073,101.6067,2010, 11-50
imperia asia,klang,selangor,3.0433,101.4469,2010,51-200
euro house,ipoh,perak,4.5975,101.0901,2010,51-200
smoosh the creative juicers sdn bhd,petaling jaya,selangor,3.1073,101.6067,2010, 1-10
loob holding sdn bhd,petaling jaya,selangor,3.1073,101.6067,2010,501-1000
ladang sari international sdn. bhd.,shah alam,selangor,3.0738,101.5183,2010, 1-10
ayam penyet api sdn bhd,subang jaya,selangor,3.043,101.583,2010,201-500
big onion food caterer,batu,kuala lumpur,3.217,101.682,2010,51-200
teaffani catering,shah alam,selangor,3.0738,101.5183,2010,51-200
eat drink kl,petaling jaya,selangor,3.1073,101.6067,2009, 1-10
mountain fresh fruit juices asia,petaling jaya,selangor,3.1073,101.6067,2009, 11-50
ayamazz sdn bhd,kuala lumpur,kuala lumpur,3.139,101.6869,2009, 11-50
ebm sdn. bhd,kuala lumpur,kuala lumpur,3.139,101.6869,2008, 11-50
house of taste sdn bhd,petaling jaya,selangor,3.1073,101.6067,2008,51-200
beveco sdn bhd,petaling jaya,selangor,3.1073,101.6067,2008, 1-10
passionate cakes,shah alam,selangor,3.0738,101.5183,2008, 1-10
hakka connexion restaurant,george town,pulau pinang,5.4141,100.3292,2007, 1-10
sklew biotech sdn. bhd.,alor setar,kedah,6.1248,100.3678,2007, 11-50
elephant thai restaurant,subang jaya,selangor,3.043,101.583,2007,51-200
teh tarik place,petaling jaya,selangor,3.1073,101.6067,2007,201-500
madam sun sdn bhd,malacca,melaka,2.1896,102.2501,2007,51-200
foodland coldstorage,kuantan,pahang,3.8077,103.326,2007, 1-10
kluang station f&b sdn bhd,shah alam,selangor,3.0738,101.5183,2006,51-200
roselle farms,shah alam,selangor,3.0738,101.5183,2006,51-200
orgabio manufacturing sdn bhd,beranang,selangor,3.0738,101.5183,2006,51-200
vedablu global sdn bhd,petaling jaya,selangor,3.1073,101.6067,2006, 11-50
global specialty ingredients,port klang,selangor,2.998,101.392,2005, 11-50
dankoff coffee specialist,seri kembangan,selangor,3.02,101.705,2005, 11-50
tuk tuk catering services,petaling jaya,selangor,3.1073,101.6067,2005, 1-10
marco creative cuisine,petaling jaya,selangor,3.1073,101.6067,2004, 11-50
gelatomio sdn bhd,petaling jaya,selangor,3.1073,101.6067,2004, 11-50
asian room service sdn bhd,petaling jaya,selangor,3.1073,101.6067,2003,51-200
rt pastry house sdn bhd,seri kembangan,selangor,3.02,101.705,2003,201-500
exclusivitea sdn bhd,bayan lepas,pulau pinang,5.296,100.276,2003, 11-50
nz natural sdn bhd,petaling jaya,selangor,3.1073,101.6067,2003,51-200
the olive tree group,petaling jaya,selangor,3.1073,101.6067,2003,201-500
big rose caterers sdn bhd,cheras,selangor,3.085,101.744,2002, 11-50
tristar global sdn bhd,petaling jaya,selangor,3.1073,101.6067,2001,51-200
thaipore wines & spirits (m) sdn bhd,petaling jaya,selangor,3.1073,101.6067,2001, 11-50
sarafiah natural resources sdn bhd,port klang,selangor,2.998,101.392,2001,51-200
tastiway sdn. bhd.,alor setar,kedah,6.1248,100.3678,2000,51-200
the big rajah food caterers,petaling jaya,selangor,3.1073,101.6067,1999,51-200
kopitiam asia pacific sdn bhd,subang jaya,selangor,3.043,101.583,1999,201-500
menya miyabi hokkaido ramen,bayan lepas,pulau pinang,5.296,100.276,1998, 1-10
h&t group,kota kinabalu,sabah,5.9804,116.0735,1998, 11-50
rotiboy bakeshoppe sdn bhd,rawang,selangor,3.321,101.575,1998,201-500
domino's pizza malaysia & singapore,shah alam,selangor,3.0738,101.5183,1997,1001-5000
us pizza malaysia,george town,pulau pinang,5.4141,100.3292,1997, 11-50
nineteen o one sdn. bhd.,shah alam,selangor,3.0738,101.5183,1997,51-200
health paradise sdn bhd,subang jaya,selangor,3.043,101.583,1997, 1-10
segi seri sdn bhd,shah alam,selangor,3.0738,101.5183,1995,201-500
pacific west malaysia,butterworth,pulau pinang,5.399,100.363,1995,51-200
legend of tea sdn bhd,ipoh,perak,4.5975,101.0901,1993, 11-50
mewaholeo industries sdn bhd,pasir gudang,johor,1.4722,103.8822,1993,501-1000
deluxe rich sdn bhd,kluang,johor,1.4927,103.7414,1993,51-200
linaco group,shah alam,selangor,3.0738,101.5183,1992,1001-5000
linaco group of companies,shah alam,selangor,3.0738,101.5183,1992,1001-5000
jinwei,butterworth,pulau pinang,5.399,100.363,1992, 11-50
enrico's raviraj sdn bhd,bukit mertajam,pulau pinang,5.363,100.466,1991,51-200
yishensu group,ipoh,perak,4.5975,101.0901,1989,51-200
nature's health products sdn. bhd,klang,selangor,3.0433,101.4469,1989, 1-10
pacific inter-link sdn bhd (pil group),kuala lumpur,kuala lumpur,3.139,101.6869,1988,5001-10000
msm kitchen sdn bhd,seri kembangan,selangor,3.02,101.705,1985,501-1000
pastry pro malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,1984,51-200
s&p industries sdn bhd,petaling jaya,selangor,3.1073,101.6067,1983,201-500
mister coffee,petaling jaya,selangor,3.1073,101.6067,1982,51-200
eng sheng,shah alam,selangor,3.0738,101.5183,1982,201-500
spritzer bhd,ipoh,perak,4.5975,101.0901,1977,501-1000
malaysian institute of baking,petaling jaya,selangor,3.1073,101.6067,1977, 11-50
teo hong tai,kuching,sarawak,1.5533,110.3593,1975,51-200
king's potong ice cream malaysia,shah alam,selangor,3.0738,101.5183,1974,501-1000
permanis sdn bhd (bottler for pepsico malaysia),bandar baru bangi,selangor,2.967,101.761,1973,1001-5000
lees frozen food sdn bhd,kuala lumpur,kuala lumpur,3.139,101.6869,1962,51-200
chop tong guan (ctg),simpang empat,perak,4.5975,101.0901,1929,201-500
nestlé malaysia,petaling jaya,selangor,3.1073,101.6067,1912,5001-10000
monin asia-pacific,rawang,selangor,3.321,101.575,1912,51-200
t hasegawa flavours (kuala lumpur) sdn bhd,klang,selangor,3.0433,101.4469,1903,201-500
jasatera bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
bhojanam catering & events,shah alam,selangor,3.0738,101.5183,0, 1-10
universal nutribeverage sdn bhd,shah alam,selangor,3.0738,101.5183,0, 11-50
burgertory,subang jaya,selangor,3.043,101.583,0, 1-10
barkath group,pulau pinang,pahang,5.4141,100.3292,0, 1-10
dutch lady milk industries (m) bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
marrybrown sdn bhd,johor bahru,johor,1.4927,103.7414,0,51-200
syarikat kenderaan melayu kelantan bhd.,kota bahru,kelantan,6.1254,102.2381,0, 1-10
real meals,semenyih,selangor,2.954,101.843,0, 1-10
susu kambing syafia malaysia,kuala terengganu,terengganu,5.329,103.137,0, 1-10
zubir food sdn bhd,pasir gudang,johor,1.4722,103.8822,0, 1-10
innovate instant coffee sdn. bhd.,ipoh,perak,4.5975,101.0901,0, 1-10
mighty bakery sdn. bhd.,ulu tiram,johor,1.6,103.817,0, 1-10
perfect treats sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
koperasi kakitangan petronas berhad (kopetro),kuala lumpur,kuala lumpur,3.139,101.6869,0, 11-50
pertubuhan keselamatan sosial,kuala lumpur,kuala lumpur,3.139,101.6869,0, 11-50
kelana seafood centre sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
kejap food,petaling jaya,selangor,3.1073,101.6067,0, 1-10
intercontinental specialty fats sdn bhd,port klang,selangor,2.998,101.392,0, 1-10
chin heng hup kee co sdn bhd,bukit mertajam,pulau pinang,5.363,100.466,0, 1-10
absolute thai group of restaurants,kuala lumpur,kuala lumpur,3.139,101.6869,0,201-500
lion eco chemicals sdn bhd,pasir gudang,johor,1.4722,103.8822,0, 11-50
suntory beverage & food malaysia,petaling jaya,selangor,3.1073,101.6067,0,51-200
dragon-i restaurant sdn bhd,shah alam,selangor,3.0738,101.5183,0,1001-5000
grand seafood,masai,johor,1.492,103.87,0,51-200
kjm aluminium can sdn. bhd.,nilai,negeri sembilan,2.815,101.797,0,501-1000
the boom beverage sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,0,51-200
flying burgers industry,subang jaya,selangor,3.043,101.583,0, 1-10
gourmet offshore sdn bhd,cukai,terengganu,4.236,103.421,0, 11-50
vegeta manufacturing sdn bhd,shah alam,selangor,3.0738,101.5183,0, 1-10
golden regal restaurant sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
terminal b cafe,malacca,melaka,2.1896,102.2501,0, 11-50
platinum paradise sdn bhd,shah alam,selangor,3.0738,101.5183,0, 1-10
nutri action sdn. bhd.,ipoh,perak,4.5975,101.0901,0,51-200
awesome canteen,petaling jaya,selangor,3.1073,101.6067,0, 11-50
pastry institute of st honore,kuala lumpur,kuala lumpur,3.139,101.6869,0, 1-10
hokto kinoko co,nilai,negeri sembilan,2.815,101.797,0, 1-10
jmg trading sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,0, 1-10
gardenia bakeries,shah alam,selangor,3.0738,101.5183,0,51-200
jaslyn cakes group,kuala lumpur,kuala lumpur,3.139,101.6869,0, 11-50
the big mouth sdn bhd,subang jaya,selangor,3.043,101.583,0, 1-10
oversea enterprise berhad,shah alam,selangor,3.0738,101.5183,0, 11-50
devendranathan holding sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,0, 11-50
illy caffè malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,0, 11-50
sos gourmet enterprise,johor bahru,johor,1.4927,103.7414,0, 1-10
harvest fine food eko botanic,johor bahru,johor,1.4927,103.7414,0, 1-10
woodpeckers group,petaling jaya,selangor,3.1073,101.6067,0,201-500
daily fresh foods sdn bhd,simpang renggam,johor,2.045,103.317,0, 1-10
sunshine specialities sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 1-10
able perfect sdn. bhd.,telok panglima garang,selangor,2.883,101.472,0, 1-10
creative ingredients sdn bhd,cheras,selangor,3.085,101.744,0, 1-10
sj alqodwah sdn bhd,cyberjaya,selangor,2.9225,101.655,0, 1-10
bigfruit ventures,cyberjaya,selangor,2.9225,101.655,0,51-200
victorian street burger,labuan,labuan,5.2831,115.2417,0, 1-10
etika foods marketing sdn. bhd.,kapar,selangor,3.104,101.386,0, 1-10
aviate lounge,senai,johor,1.6,103.667,2021, 1-10
pola dola,shah alam,selangor,3.0738,101.5183,2020, 11-50
pinwheel resto cafe,george town,pulau pinang,5.4141,100.3292,2020, 1-10
topglobal food and beverages sdn. bhd.,kuala lumpur,kuala lumpur,3.139,101.6869,2020,51-200
skoozi,kuala lumpur,kuala lumpur,3.139,101.6869,2018, 11-50
flower girl coffee,subang jaya,selangor,3.043,101.583,2017, 1-10
new ocean world fine food city,petaling jaya,selangor,3.1073,101.6067,2016,201-500
the street kitchen melaka,malacca,melaka,2.1896,102.2501,2016, 11-50
howdy grillhouse,kuching,sarawak,1.5533,110.3593,2011, 11-50
that little wine bar,george town,pulau pinang,5.4141,100.3292,2009, 11-50
nando's chickenland malaysia sdn bhd,petaling jaya,selangor,3.1073,101.6067,1998,501-1000
secret recipe cakes & cafe sdn bhd,petaling jaya,selangor,3.1073,101.6067,1997,501-1000
restoran h&h sdn bhd,petaling jaya,selangor,3.1073,101.6067,1983, 11-50
kampong kravers (m) sdn bhd,shah alam,selangor,3.0738,101.5183,0, 1-10
q bistro nasi kandar,subang jaya,selangor,3.043,101.583,0, 1-10
7 spice,johor bahru,johor,1.4927,103.7414,0, 1-10
putien,subang jaya,selangor,3.043,101.583,0, 1-10
hokkaido ramen santouka,bintang,pahang,3.145,101.711,0, 1-10
doraku japanese restaurant,seberang jaya,pulau pinang,5.394,100.408,0, 1-10
shunka,taiping,perak,4.85,100.741,0, 1-10
kim gary,subang jaya,selangor,3.043,101.583,0, 1-10
cupcake chic sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,0, 11-50
each a cup,ampang,selangor,3.149,101.76,0, 1-10
guardian catering and restaurants sdn bhd,seri kembangan,selangor,3.02,101.705,0, 1-10
mu hotel,ipoh,perak,4.5975,101.0901,0, 1-10
supperclub kuala lumpur,kuala lumpur,kuala lumpur,3.139,101.6869,0,51-200
fuel shack,bintang,pahang,3.145,101.711,0, 1-10
m suites hotel,johor bahru,johor,1.4927,103.7414,0, 1-10
restoran sederhana,petaling jaya,selangor,3.1073,101.6067,0, 1-10
mitsui outlet park klia sepang. all right,mantin,negeri sembilan,2.948,101.916,0, 1-10
wong kok char chan teng,batu pahat,johor,1.854,102.932,0, 1-10
restaurant rasa sayang,tanah rata,pahang,4.474,101.376,0, 1-10
moonlight cake house sdn,johor bahru,johor,1.4927,103.7414,0, 1-10
dragon-i restaurant @ gurney plaza, penang,petaling jaya,selangor,3.1073,101.6067,0, 1-10
dewakan restaurant,shah alam,selangor,3.0738,101.5183,0, 1-10
oldtown white coffee,kuala terengganu,terengganu,5.329,103.137,0, 1-10
nav family karaoke,johor bahru,johor,1.4927,103.7414,0, 1-10
kedai ayamas roasters,subang jaya,selangor,3.043,101.583,0, 1-10
plaza merdeka,kuching,sarawak,1.5533,110.3593,0, 1-10
restoran medan suri,kulim,kedah,5.364,100.561,0, 1-10
i love yoo,petaling jaya,selangor,3.1073,101.6067,0, 1-10
empire sushi,seberang jaya,pulau pinang,5.394,100.408,0, 1-10
ny steak shack,petaling jaya,selangor,3.1073,101.6067,0, 1-10
the rooftop bar,bintulu,sarawak,3.166,113.044,0, 1-10
"sento hotel, keningau, sabah.",keningau,sabah,5.337,116.169,0, 1-10
rasa sayang cafe,kuantan,pahang,3.8077,103.326,0, 1-10
edo ichi japanese cuisine,seremban,negeri sembilan,2.7297,101.9381,0, 1-10
korean restoran oiso @ pj33 한국식당 오이소,petaling jaya,selangor,3.1073,101.6067,0, 1-10
sky nutraceuticals,simpang empat,perak,4.5975,101.0901,0, 1-10
mohd chan,subang jaya,selangor,3.043,101.583,0, 1-10
magic bites,kuching,sarawak,1.5533,110.3593,0, 1-10
golden arches restaurants sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 11-50
jibby & co,subang jaya,selangor,3.043,101.583,0, 1-10
zensho foods malaysia sdn bhd,petaling jaya,selangor,3.1073,101.6067,0, 11-50
sedap corner sdn. bhd,johor bahru,johor,1.4927,103.7414,0, 1-10
sugarbun,kota belud,sabah,6.352,116.431,0, 1-10
blackwood cafe,petaling jaya,selangor,3.1073,101.6067,0, 1-10
malaysia food,kuching,sarawak,1.5533,110.3593,0, 1-10
